subid,comissoes,faturamento,gasto,lucro,roi,total_vendas,vendas_diretas,vendas_indiretas,qtd_itens,ticket_medio,cliques_anuncio,cliques_shopee,%_batimento_cliques
,56.129999999999995,1259.52,0.0,56.129999999999995,0.0,21.0,2.0,19.0,22.0,59.97714285714286,0.0,16.0,0.0
babydoll,4.0944,136.48000000000002,0.0,4.0944,0.0,2.0,0.0,2.0,2.0,68.24000000000001,0.0,1.0,0.0
blusatrico,5.25,175.0,0.0,5.25,0.0,3.0,0.0,3.0,3.0,58.333333333333336,0.0,0.0,0.0
calcamarrant,1.1586,38.62,0.0,1.1586,0.0,1.0,0.0,1.0,1.0,38.62,0.0,0.0,0.0
canelada02,141.9155,2420.63,74.33,67.58550000000001,0.9092627472083952,56.0,16.0,40.0,56.0,43.22553571428572,1032.0,1687.0,163.46899224806202
canelada02loc,16.2605,111.67,34.06,-17.799500000000002,-0.5225924838520258,4.0,3.0,1.0,4.0,27.9175,408.0,763.0,187.00980392156862
canelada03,177.0013,3287.71,105.69,71.31129999999999,0.6747213549058566,68.0,11.0,57.0,72.0,48.34867647058824,1457.0,2513.0,172.477693891558
canelada03loc,38.0094,611.62,35.99,2.0193999999999974,0.056110030564045496,7.0,4.0,3.0,7.0,87.37428571428572,442.0,682.0,154.29864253393666
canelada04,57.2565,952.5600000000001,35.07,22.186500000000002,0.6326347305389222,9.0,4.0,5.0,9.0,105.84,366.0,704.0,192.34972677595627
canelada05,65.97630000000001,1730.08,35.84,30.136300000000006,0.8408565848214287,35.0,3.0,32.0,38.0,49.43085714285714,643.0,791.0,123.01710730948679
canelada06,43.2879,466.6,21.32,21.9679,1.030389305816135,8.0,4.0,4.0,8.0,58.325,309.0,498.0,161.16504854368932
canguru,4.0947,136.49,4.67,-0.5753000000000004,-0.12319057815845832,2.0,0.0,2.0,2.0,68.245,37.0,72.0,194.5945945945946
cfanarruga,28.8412,132.07999999999998,18.06,10.781200000000002,0.596965669988926,2.0,2.0,0.0,2.0,66.03999999999999,206.0,335.0,162.62135922330097
cintadp,0.6567,21.89,0.0,0.6567,0.0,1.0,0.0,1.0,1.0,21.89,0.0,0.0,0.0
conjuntinho01,28.1989,205.62,20.03,8.168899999999997,0.40783325012481264,4.0,2.0,2.0,4.0,51.405,138.0,235.0,170.28985507246378
cplistras,2.6273999999999997,87.58,16.21,-13.582600000000001,-0.8379148673658235,3.0,0.0,3.0,3.0,29.19333333333333,123.0,225.0,182.9268292682927
flairejeans,30.318299999999997,771.01,17.95,12.368299999999998,0.6890417827298049,18.0,1.0,17.0,20.0,42.833888888888886,327.0,546.0,166.9724770642202
flairejeansdp,62.414699999999996,1601.29,23.97,38.4447,1.6038673341677097,24.0,2.0,22.0,25.0,66.72041666666667,348.0,592.0,170.1149425287356
flare,77.5911,803.1899999999999,44.71,32.881099999999996,0.7354305524491165,21.0,5.0,16.0,22.0,38.247142857142855,327.0,454.0,138.83792048929664
flare01,4.3431,144.76999999999998,24.67,-20.326900000000002,-0.8239521686258614,3.0,0.0,3.0,3.0,48.25666666666666,150.0,237.0,158.0
flare01loc,31.6467,255.41,36.36,-4.7133,-0.12962871287128713,6.0,2.0,4.0,6.0,42.568333333333335,206.0,295.0,143.20388349514565
flaredp,11.845400000000001,266.88,24.99,-13.144599999999997,-0.5259943977591035,6.0,1.0,5.0,6.0,44.48,179.0,301.0,168.15642458100558
flareloc,25.9026,468.29999999999995,34.27,-8.367400000000004,-0.24416107382550342,10.0,1.0,9.0,10.0,46.83,229.0,322.0,140.6113537117904
grupo,44.5256,792.85,0.0,44.5256,0.0,15.0,4.0,11.0,15.0,52.85666666666667,0.0,159.0,0.0
jaqueta01dp,13.6317,454.39,4.71,8.921700000000001,1.8942038216560513,9.0,0.0,9.0,9.0,50.48777777777778,55.0,87.0,158.1818181818182
jaqueta03,17.315,384.5,18.63,-1.3149999999999977,-0.07058507783145453,14.0,1.0,13.0,15.0,27.464285714285715,386.0,610.0,158.03108808290156
jaqueta03dp,2.7,90.0,0.0,2.7,0.0,1.0,0.0,1.0,1.0,90.0,0.0,0.0,0.0
jaquetaparka,3.3744,112.48,14.79,-11.4156,-0.7718458417849898,1.0,0.0,1.0,1.0,112.48,114.0,167.0,146.49122807017542
joggercirre,10.730599999999999,180.4,6.22,4.510599999999999,0.725176848874598,5.0,2.0,3.0,5.0,36.08,60.0,86.0,143.33333333333334
