subid,comissoes,faturamento,gasto,lucro,roi,total_vendas,vendas_diretas,vendas_indiretas,qtd_itens,ticket_medio,cliques_anuncio,cliques_shopee,%_batimento_cliques
,560.5191,3299.46,0.0,560.5191,0.0,51.0,0.0,51.0,60.0,64.69529411764707,0.0,159.0,0.0
babydoll,7.8576999999999995,94.19,5.37,2.4876999999999994,0.46325884543761625,4.0,1.0,3.0,5.0,23.5475,69.0,108.0,156.52173913043478
blusatrico,0.0,0.0,3.78,-3.78,-1.0,0.0,0.0,0.0,0.0,0.0,41.0,60.0,146.34146341463415
calcaconfy02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
calcaconfydp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
calcamarrant,113.208,389.87,4.42,108.788,24.61266968325792,2.0,0.0,2.0,2.0,194.935,59.0,102.0,172.8813559322034
canelada02,1203.9633,1938.07,71.39,1132.5732999999998,15.864593080263338,48.0,15.0,33.0,50.0,40.37645833333333,941.0,1561.0,165.8873538788523
canelada03,749.7451,2424.58,105.31,644.4350999999999,6.119410312410976,66.0,18.0,48.0,67.0,36.736060606060605,1383.0,2314.0,167.3174258857556
canelada04,226.885,342.79,32.28,194.605,6.0286555142503095,9.0,6.0,3.0,9.0,38.08777777777778,334.0,589.0,176.34730538922156
canelada05,156.20159999999998,888.7,29.01,127.19159999999998,4.384405377456049,20.0,1.0,19.0,20.0,44.435,543.0,612.0,112.70718232044199
canelada06,25.8417,114.57,23.82,2.021699999999999,0.08487405541561709,4.0,1.0,3.0,4.0,28.6425,335.0,515.0,153.73134328358208
canguru,1.1601,38.67,14.79,-13.6299,-0.9215618661257606,2.0,0.0,2.0,2.0,19.335,133.0,287.0,215.78947368421052
conjuntinho,0.417,13.9,0.0,0.417,0.0,1.0,0.0,1.0,1.0,13.9,0.0,0.0,0.0
conjuntinho01,72.8384,516.51,17.87,54.96839999999999,3.076015668718522,12.0,2.0,10.0,12.0,43.0425,128.0,279.0,217.96875
conjuntofeminino,2.3337000000000003,77.78999999999999,0.0,2.3337000000000003,0.0,3.0,0.0,3.0,3.0,25.929999999999996,0.0,0.0,0.0
flairejeans,90.2961,647.69,16.42,73.8761,4.49915347137637,13.0,1.0,12.0,14.0,49.822307692307696,309.0,552.0,178.64077669902915
flairejeans01,0.7203,24.01,0.0,0.7203,0.0,1.0,0.0,1.0,1.0,24.01,0.0,3.0,0.0
flairejeansdp,247.0147,1493.32,22.04,224.9747,10.207563520871144,28.0,2.0,26.0,30.0,53.332857142857144,351.0,604.0,172.07977207977208
flare,770.562,829.76,37.98,732.582,19.288625592417063,19.0,5.0,14.0,20.0,43.671578947368424,283.0,482.0,170.31802120141342
flare01,380.0268,1081.87,23.35,356.67679999999996,15.275237687366165,22.0,3.0,19.0,22.0,49.17590909090909,159.0,266.0,167.29559748427673
flaredp,146.8057,878.07,22.55,124.2557,5.510230598669623,13.0,2.0,11.0,14.0,67.54384615384616,179.0,303.0,169.27374301675977
grupo,902.476,3093.53,0.0,902.476,0.0,20.0,5.0,15.0,25.0,154.6765,0.0,120.0,0.0
jaqueta01dp,2.238,74.6,14.39,-12.152000000000001,-0.8444753300903406,3.0,0.0,3.0,3.0,24.866666666666664,184.0,269.0,146.19565217391303
jaqueta03,117.9276,496.52,19.0,98.9276,5.206715789473684,9.0,0.0,9.0,9.0,55.16888888888889,446.0,688.0,154.26008968609867
jaqueta03dp,59.214299999999994,439.31,2.29,56.924299999999995,24.85777292576419,11.0,0.0,11.0,11.0,39.93727272727273,38.0,80.0,210.52631578947367
jaquetaparka,48.258,215.57999999999998,15.01,33.248000000000005,2.215056628914058,4.0,0.0,4.0,4.0,53.894999999999996,117.0,235.0,200.85470085470087
joggercirre,0.0,0.0,22.55,-22.55,-1.0,0.0,0.0,0.0,0.0,0.0,245.0,440.0,179.59183673469389
legging02,234.6215,1026.25,50.66,183.9615,3.6312968811685753,29.0,9.0,20.0,30.0,35.38793103448276,573.0,560.0,97.73123909249564
legging03,1.047,34.9,0.0,1.047,0.0,1.0,0.0,1.0,1.0,34.9,0.0,0.0,0.0
leggingbolha,137.75390000000002,568.51,17.72,120.03390000000002,6.773922121896164,13.0,4.0,9.0,13.0,43.73153846153846,268.0,412.0,153.73134328358208
leggingcouro,22.2333,191.2,13.74,8.4933,0.6181441048034935,6.0,1.0,5.0,6.0,31.866666666666664,153.0,193.0,126.1437908496732
linho,247.83010000000002,265.83,14.05,233.7801,16.63915302491103,7.0,4.0,3.0,8.0,37.97571428571428,230.0,340.0,147.82608695652172
